Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course
1,Поляков Семен Савельевич,19,М,Аспирантура,Факультет математики,1
2,Сазонов Елисей Анатольевич,28,М,Аспирантура,Факультет мировой экономики и мировой политики,1
3,Сафонова Аврора Мироновна,22,Ж,Магистратура,Факультет математики,1
4,Семенова Марианна Александровна,19,Ж,Специалитет,Факультет мировой экономики и мировой политики,2
5,Карпов Руслан Васильевич,21,М,Аспирантура,Факультет социальных наук,3
6,Тимофеева Валентина Станиславовна,27,Ж,Магистратура,Факультет бизнеса и менеджмента,1
7,Мухина Валерия Савельевна,28,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",2
8,Капустин Василий Филиппович,20,М,Магистратура,Факультет бизнеса и менеджмента,2
9,Семенов Артем Олегович,29,М,Специалитет,Факультет гуманитарных наук,2
10,Гаврилов Георгий Аркадьевич,25,М,Специалитет,Факультет бизнеса и менеджмента,5
11,Чернышева Валентина Александровна,26,Ж,Магистратура,Факультет математики,2
12,Назаров Денис Станиславович,22,М,Магистратура,Факультет социальных наук,2
13,Поляков Яков Евсеевич,27,М,Аспирантура,Факультет мировой экономики и мировой политики,1
14,Овчинникова Ия Станиславовна,30,Ж,Аспирантура,Факультет права,2
15,Архипов Арсений Максимович,27,М,Магистратура,Факультет экономических наук,2
16,Фролов Варлам Ратмирович,18,М,Бакалавриат,Факультет права,1
17,Морозова Ирина Захаровна,21,Ж,Бакалавриат,Факультет гуманитарных наук,3
18,Дроздов Ефим Савельевич,19,М,Магистратура,Факультет экономических наук,2
19,Маслов Егор Никитич,18,М,Бакалавриат,Факультет математики,2
20,Васильева Лариса Юрьевна,18,Ж,Аспирантура,Факультет социальных наук,2
21,Федотова Лидия Прохоровна,19,Ж,Аспирантура,Факультет мировой экономики и мировой политики,1
22,Головин Семен Леонидович,30,М,Аспирантура,Факультет гуманитарных наук,3
23,Борисов Александр Олегович,21,М,Магистратура,Факультет мировой экономики и мировой политики,2
24,Кондратьев Василий Викторович,28,М,Бакалавриат,Факультет социальных наук,2
25,Дмитриев Силантий Максимович,25,М,Бакалавриат,Факультет права,2
