Hostel_ID,Hostel_Name,Room_Number,Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course,Languages,Religion,Interests
1,Общежитие №1,1,1,Поляков Семен Савельевич,19,М,Аспирантура,Факультет математики,1,Русский,Атеизм,"Рисование, Музыка"
1,Общежитие №1,1,2,Сазонов Елисей Анатольевич,28,М,Аспирантура,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Православие,"Музыка, Футбол, Настольные игры"
1,Общежитие №1,1,5,Карпов Руслан Васильевич,21,М,Аспирантура,Факультет социальных наук,3,Русский,Буддизм,Баскетбол
1,Общежитие №1,1,8,Капустин Василий Филиппович,20,М,Магистратура,Факультет бизнеса и менеджмента,2,"Русский, Английский",Православие,"Баскетбол, Настольный теннис"
1,Общежитие №1,1,9,Семенов Артем Олегович,29,М,Специалитет,Факультет гуманитарных наук,2,Английский,Ислам,"Волейбол, Программирование"
1,Общежитие №1,2,3,Сафонова Аврора Мироновна,22,Ж,Магистратура,Факультет математики,1,"Русский, Английский",Атеизм,"Настольные игры, Футбол"
1,Общежитие №1,2,4,Семенова Марианна Александровна,19,Ж,Специалитет,Факультет мировой экономики и мировой политики,2,Русский,Атеизм,"Волейбол, Музыка"
1,Общежитие №1,2,6,Тимофеева Валентина Станиславовна,27,Ж,Магистратура,Факультет бизнеса и менеджмента,1,Русский,Атеизм,Футбол
1,Общежитие №1,2,7,Мухина Валерия Савельевна,28,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",2,Английский,Православие,Волейбол
1,Общежитие №1,2,11,Чернышева Валентина Александровна,26,Ж,Магистратура,Факультет математики,2,Английский,Буддизм,Настольный теннис
1,Общежитие №1,3,10,Гаврилов Георгий Аркадьевич,25,М,Специалитет,Факультет бизнеса и менеджмента,5,Английский,Атеизм,"Программирование, Настольный теннис"
1,Общежитие №1,3,12,Назаров Денис Станиславович,22,М,Магистратура,Факультет социальных наук,2,Русский,Ислам,Рисование
1,Общежитие №1,3,13,Поляков Яков Евсеевич,27,М,Аспирантура,Факультет мировой экономики и мировой политики,1,Английский,Атеизм,"Настольные игры, Футбол, Программирование"
1,Общежитие №1,3,15,Архипов Арсений Максимович,27,М,Магистратура,Факультет экономических наук,2,Русский,Православие,"Шахматы, Настольные игры"
1,Общежитие №1,3,16,Фролов Варлам Ратмирович,18,М,Бакалавриат,Факультет права,1,"Русский, Английский",Православие,Футбол
1,Общежитие №1,4,14,Овчинникова Ия Станиславовна,30,Ж,Аспирантура,Факультет права,2,"Русский, Английский",Атеизм,Музыка
1,Общежитие №1,4,17,Морозова Ирина Захаровна,21,Ж,Бакалавриат,Факультет гуманитарных наук,3,"Русский, Английский",Ислам,Баскетбол
1,Общежитие №1,4,20,Васильева Лариса Юрьевна,18,Ж,Аспирантура,Факультет социальных наук,2,Русский,Ислам,Музыка
1,Общежитие №1,4,21,Федотова Лидия Прохоровна,19,Ж,Аспирантура,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Ислам,Программирование
1,Общежитие №1,4,28,Ковалева Анфиса Антоновна,22,Ж,Специалитет,Факультет математики,1,Английский,Атеизм,"Баскетбол, Рисование, Программирование"
1,Общежитие №1,5,18,Дроздов Ефим Савельевич,19,М,Магистратура,Факультет экономических наук,2,"Русский, Английский",Атеизм,Программирование
1,Общежитие №1,5,19,Маслов Егор Никитич,18,М,Бакалавриат,Факультет математики,2,"Русский, Английский",Православие,Шахматы
1,Общежитие №1,5,22,Головин Семен Леонидович,30,М,Аспирантура,Факультет гуманитарных наук,3,Русский,Атеизм,"Шахматы, Настольные игры"
1,Общежитие №1,5,23,Борисов Александр Олегович,21,М,Магистратура,Факультет мировой экономики и мировой политики,2,Русский,Православие,"Футбол, Настольные игры"
1,Общежитие №1,5,24,Кондратьев Василий Викторович,28,М,Бакалавриат,Факультет социальных наук,2,Английский,Ислам,"Музыка, Шахматы, Волейбол"
1,Общежитие №1,6,25,Дмитриев Силантий Максимович,25,М,Бакалавриат,Факультет права,2,"Китайский, Английский",Ислам,Настольный теннис
1,Общежитие №1,6,26,Шаров Семен Глебович,23,М,Бакалавриат,Факультет права,4,Русский,Православие,"Шахматы, Рисование"
1,Общежитие №1,6,27,Игнатьев Анатолий Артёмович,20,М,Бакалавриат,Факультет урбанистики,4,Русский,Ислам,Волейбол
1,Общежитие №1,6,29,Шестаков Федор Олегович,27,М,Специалитет,Факультет гуманитарных наук,4,"Русский, Английский",Православие,"Шахматы, Программирование"
1,Общежитие №1,6,32,Титов Тарас Адамович,26,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",5,"Русский, Английский",Православие,Шахматы
1,Общежитие №1,7,30,Котова Елизавета Георгиевна,29,Ж,Аспирантура,Факультет бизнеса и менеджмента,2,Русский,Православие,Волейбол
1,Общежитие №1,7,31,Овчинникова Алиса Станиславовна,20,Ж,Бакалавриат,Факультет гуманитарных наук,3,Русский,Атеизм,"Футбол, Музыка"
1,Общежитие №1,7,38,Мартынова Лея Никитична,20,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3,Русский,Буддизм,"Программирование, Шахматы, Настольный теннис"
1,Общежитие №1,7,39,Киселева Алина Денисовна,30,Ж,Специалитет,Факультет социальных наук,1,Русский,Православие,"Футбол, Музыка"
1,Общежитие №1,7,40,Фёдорова Дарина Вениаминовна,24,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,Английский,Православие,Программирование
1,Общежитие №1,8,34,Федосеев Максим Викторович,19,М,Специалитет,Факультет мировой экономики и мировой политики,1,Русский,Атеизм,Музыка
1,Общежитие №1,8,35,Беликов Тарас Миронович,21,М,Специалитет,Факультет компьютерных наук,5,Русский,Ислам,"Рисование, Музыка"
1,Общежитие №1,8,36,Ларионов Глеб Евгеньевич,22,М,Специалитет,Факультет гуманитарных наук,4,Русский,Ислам,"Рисование, Настольные игры"
1,Общежитие №1,8,37,Михайлов Глеб Леонтьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,5,"Русский, Английский",Православие,"Баскетбол, Шахматы"
1,Общежитие №1,9,41,Федотов Игнат Даниилович,30,М,Магистратура,Факультет компьютерных наук,2,Русский,Православие,"Волейбол, Рисование"
1,Общежитие №1,9,43,Гаврилов Глеб Глебович,25,М,Аспирантура,Факультет компьютерных наук,2,Русский,Православие,Музыка
1,Общежитие №1,9,45,Лазарев Тарас Сергеевич,21,М,Аспирантура,Факультет урбанистики,1,"Русский, Английский",Православие,Настольный теннис
1,Общежитие №1,9,47,Игнатьев Петр Платонович,18,М,Аспирантура,Факультет гуманитарных наук,3,"Русский, Английский",Атеизм,"Футбол, Настольный теннис, Настольные игры"
1,Общежитие №1,9,48,Шубин Станислав Даниилович,28,М,Бакалавриат,Факультет математики,3,Английский,Буддизм,"Программирование, Волейбол"
1,Общежитие №1,10,42,Дьякова Ульяна Арсеньевна,29,Ж,Специалитет,Факультет компьютерных наук,4,Русский,Буддизм,"Настольные игры, Баскетбол"
1,Общежитие №1,10,44,Сафонова Ольга Александровна,26,Ж,Аспирантура,Факультет социальных наук,2,"Русский, Английский",Православие,"Рисование, Баскетбол"
1,Общежитие №1,10,46,Петрова Дарина Дмитриевна,25,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2,Русский,Ислам,"Баскетбол, Шахматы"
1,Общежитие №1,10,49,Кожевникова Людмила Игнатьевна,22,Ж,Аспирантура,Факультет экономических наук,3,Русский,Атеизм,"Программирование, Шахматы"
1,Общежитие №1,10,54,Соловьева Светлана Антоновна,29,Ж,Бакалавриат,Факультет урбанистики,1,Русский,Атеизм,Программирование
1,Общежитие №1,11,50,Гордеев Леонид Викторович,27,М,Аспирантура,Факультет мировой экономики и мировой политики,3,Английский,Буддизм,"Музыка, Шахматы, Программирование"
1,Общежитие №1,11,51,Мухин Филипп Виталиевич,27,М,Магистратура,Факультет права,2,Русский,Православие,"Рисование, Настольные игры"
1,Общежитие №1,11,52,Панкратов Егорий Иванович,26,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1,Русский,Православие,Шахматы
1,Общежитие №1,11,53,Захаров Ерофей Леонтьевич,18,М,Бакалавриат,Факультет математики,3,"Русский, Английский",Атеизм,"Футбол, Шахматы"
1,Общежитие №1,11,55,Виноградов Тимур Максимович,20,М,Бакалавриат,Факультет бизнеса и менеджмента,4,"Русский, Английский",Буддизм,"Музыка, Рисование"
1,Общежитие №1,12,56,Лазарев Давид Семёнович,23,М,Бакалавриат,Факультет гуманитарных наук,2,"Русский, Английский",Православие,"Программирование, Волейбол, Настольные игры"
1,Общежитие №1,12,57,Архипов Эдуард Георгиевич,20,М,Аспирантура,Факультет гуманитарных наук,1,Английский,Православие,Баскетбол
1,Общежитие №1,12,58,Павлов Аким Виталиевич,29,М,Специалитет,Факультет урбанистики,5,Русский,Православие,Настольные игры
1,Общежитие №1,12,60,Шаров Родион Виталиевич,29,М,Специалитет,Факультет гуманитарных наук,5,"Русский, Английский",Православие,Волейбол
1,Общежитие №1,12,61,Макаров Федот Станиславович,25,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,"Русский, Английский",Православие,"Волейбол, Баскетбол"
1,Общежитие №1,13,59,Сидорова Кристина Михайловна,18,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3,"Русский, Английский",Православие,"Настольный теннис, Волейбол, Настольные игры"
1,Общежитие №1,13,65,Сергеева Мелания Евграфовна,25,Ж,Специалитет,Факультет мировой экономики и мировой политики,1,Английский,Православие,"Баскетбол, Волейбол"
1,Общежитие №1,13,66,Шестакова Анфиса Андреевна,24,Ж,Специалитет,Факультет социальных наук,4,"Русский, Английский",Православие,"Шахматы, Волейбол"
1,Общежитие №1,13,67,Павлова Нина Леонидовна,30,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2,Русский,Буддизм,Волейбол
1,Общежитие №1,13,71,Сидорова Екатерина Георгиевна,19,Ж,Бакалавриат,Факультет социальных наук,1,Русский,Буддизм,Шахматы
1,Общежитие №1,14,62,Дроздов Макар Кондратьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,3,Русский,Атеизм,"Музыка, Рисование, Баскетбол"
1,Общежитие №1,14,63,Маслов Феликс Анатольевич,28,М,Бакалавриат,Факультет математики,2,"Русский, Английский",Православие,"Настольные игры, Рисование"
1,Общежитие №1,14,64,Кириллов Ерофей Арсеньевич,24,М,Бакалавриат,Факультет урбанистики,3,Русский,Ислам,Баскетбол
1,Общежитие №1,14,68,Шилов Владимир Тимофеевич,22,М,Магистратура,Факультет права,1,Русский,Буддизм,"Программирование, Рисование"
1,Общежитие №1,14,69,Фёдоров Платон Федосеевич,20,М,Бакалавриат,Факультет гуманитарных наук,3,"Русский, Английский",Атеизм,"Музыка, Баскетбол, Футбол"
1,Общежитие №1,15,70,Шестаков Валентин Семёнович,20,М,Магистратура,Факультет гуманитарных наук,2,"Русский, Английский",Буддизм,"Баскетбол, Шахматы, Программирование"
1,Общежитие №1,15,72,Сергеев Вячеслав Аркадьевич,27,М,Бакалавриат,Факультет математики,3,"Русский, Английский",Буддизм,"Рисование, Шахматы"
1,Общежитие №1,15,73,Чернышев Евсей Петрович,27,М,Бакалавриат,Факультет урбанистики,1,"Русский, Английский",Православие,"Баскетбол, Футбол, Шахматы"
1,Общежитие №1,15,74,Беляев Виталий Владимирович,20,М,Специалитет,Факультет урбанистики,5,"Русский, Английский",Буддизм,Рисование
1,Общежитие №1,15,75,Ершов Ерофей Евсеевич,21,М,Магистратура,Факультет мировой экономики и мировой политики,2,Русский,Атеизм,Шахматы
1,Общежитие №1,16,76,Соколов Геннадий Геннадьевич,28,М,Магистратура,Факультет экономических наук,1,"Русский, Английский",Православие,Музыка
1,Общежитие №1,16,77,Гордеев Григорий Леонтьевич,28,М,Аспирантура,Факультет бизнеса и менеджмента,1,Русский,Православие,"Музыка, Настольные игры, Настольный теннис"
1,Общежитие №1,16,78,Назаров Еремей Варламович,30,М,Магистратура,Факультет бизнеса и менеджмента,1,Английский,Православие,"Музыка, Настольные игры, Баскетбол"
1,Общежитие №1,16,80,Гаврилов Антон Станиславович,22,М,Магистратура,Факультет социальных наук,2,"Русский, Английский",Ислам,"Музыка, Настольные игры, Шахматы"
1,Общежитие №1,16,81,Гордеев Даниил Валентинович,25,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",3,Английский,Атеизм,"Волейбол, Рисование, Шахматы"
1,Общежитие №1,17,79,Николаева Аврора Тимуровна,21,Ж,Аспирантура,Факультет бизнеса и менеджмента,3,"Русский, Английский",Православие,Рисование
1,Общежитие №1,17,82,Крылова Яна Кондратьевна,21,Ж,Аспирантура,Факультет права,3,Русский,Православие,"Футбол, Шахматы"
1,Общежитие №1,17,84,Михайлова Амелия Федотовна,25,Ж,Бакалавриат,Факультет экономических наук,3,"Русский, Английский",Православие,"Настольные игры, Баскетбол, Футбол"
1,Общежитие №1,17,86,Головина Милана Еремеевна,28,Ж,Аспирантура,Факультет гуманитарных наук,1,Русский,Ислам,Настольный теннис
1,Общежитие №1,17,89,Сафонова Евдокия Станиславовна,25,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,Английский,Православие,"Баскетбол, Шахматы"
1,Общежитие №1,18,83,Капустин Алексей Саввич,23,М,Магистратура,Факультет права,2,"Русский, Английский",Буддизм,"Футбол, Программирование"
1,Общежитие №1,18,85,Ефремов Александр Вениаминович,18,М,Магистратура,Факультет гуманитарных наук,2,Русский,Атеизм,"Программирование, Настольный теннис, Шахматы"
1,Общежитие №1,18,87,Виноградов Аким Евграфович,30,М,Бакалавриат,Факультет социальных наук,1,"Русский, Английский",Православие,Настольный теннис
1,Общежитие №1,18,88,Виноградов Агей Миронович,18,М,Специалитет,Факультет компьютерных наук,5,Русский,Православие,"Футбол, Баскетбол, Программирование"
1,Общежитие №1,18,90,Ковалёв Артур Евгеньевич,29,М,Специалитет,Факультет урбанистики,4,Английский,Атеизм,Волейбол
1,Общежитие №1,19,91,Кондратьев Тарас Прохорович,20,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3,Русский,Атеизм,Программирование
1,Общежитие №1,19,93,Мартынов Григорий Филиппович,21,М,Специалитет,Факультет мировой экономики и мировой политики,4,Русский,Ислам,"Настольные игры, Волейбол"
1,Общежитие №1,19,94,Карпов Давид Кириллович,30,М,Магистратура,Факультет математики,2,Русский,Атеизм,"Программирование, Настольные игры"
1,Общежитие №1,19,95,Назаров Тихон Даниилович,24,М,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",1,"Русский, Английский",Ислам,"Шахматы, Музыка"
1,Общежитие №1,19,96,Дмитриев Павел Антонович,19,М,Бакалавриат,Факультет права,1,"Китайский, Английский",Буддизм,Музыка
1,Общежитие №1,20,92,Васильева Алёна Федоровна,20,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",4,Русский,Ислам,"Баскетбол, Музыка"
1,Общежитие №1,20,99,Голубева Алина Адамовна,18,Ж,Бакалавриат,Факультет урбанистики,4,"Русский, Английский",Ислам,"Музыка, Баскетбол"
1,Общежитие №1,20,104,Иванова Людмила Денисовна,21,Ж,Аспирантура,Факультет права,2,Английский,Православие,"Шахматы, Музыка, Программирование"
