Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course,Languages,Religion,Interests
1,Поляков Семен Савельевич,19,М,Аспирантура,Факультет математики,1,Русский,Буддизм,"Баскетбол, Волейбол, Настольный теннис"
2,Сазонов Елисей Анатольевич,28,М,Аспирантура,Факультет мировой экономики и мировой политики,1,Английский,Атеизм,Шахматы
3,Сафонова Аврора Мироновна,22,Ж,Магистратура,Факультет математики,1,Английский,Атеизм,"Настольные игры, Программирование, Шахматы"
4,Семенова Марианна Александровна,19,Ж,Специалитет,Факультет мировой экономики и мировой политики,2,Русский,Буддизм,"Рисование, Музыка, Шахматы"
5,Карпов Руслан Васильевич,21,М,Аспирантура,Факультет социальных наук,3,Английский,Православие, "Футбол, Волейбол"
6,Тимофеева Валентина Станиславовна,27,Ж,Магистратура,Факультет бизнеса и менеджмента,1,Русский,Православие,Шахматы
7,Мухина Валерия Савельевна,28,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",2,Русский,Атеизм,Волейбол
8,Капустин Василий Филиппович,20,М,Магистратура,Факультет бизнеса и менеджмента,2,Русский,Православие,"Футбол, Баскетбол"
9,Семенов Артем Олегович,29,М,Специалитет,Факультет гуманитарных наук,2,Английский,Атеизм,Настольный теннис
10,Гаврилов Георгий Аркадьевич,25,М,Специалитет,Факультет бизнеса и менеджмента,5,Английский,Атеизм,"Программирование, Футбол"
11,Чернышева Валентина Александровна,26,Ж,Магистратура,Факультет математики,2,Русский,Атеизм,"Настольные игры, Программирование"
12,Назаров Денис Станиславович,22,М,Магистратура,Факультет социальных наук,2,"Русский, Английский",Православие,"Баскетбол, Рисование, Настольный теннис"
13,Поляков Яков Евсеевич,27,М,Аспирантура,Факультет мировой экономики и мировой политики,1,Русский,Атеизм,"Волейбол, Баскетбол"
14,Овчинникова Ия Станиславовна,30,Ж,Аспирантура,Факультет права,2,"Русский, Английский",Ислам,Музыка
15,Архипов Арсений Максимович,27,М,Магистратура,Факультет экономических наук,2,Английский,Православие,Программирование
16,Фролов Варлам Ратмирович,18,М,Бакалавриат,Факультет права,1,Английский,Православие,"Программирование, Рисование"
17,Морозова Ирина Захаровна,21,Ж,Бакалавриат,Факультет гуманитарных наук,3,"Русский, Английский",Православие,"Футбол, Настольный теннис"
18,Дроздов Ефим Савельевич,19,М,Магистратура,Факультет экономических наук,2,"Русский, Английский",Атеизм,"Музыка, Программирование"
19,Маслов Егор Никитич,18,М,Бакалавриат,Факультет математики,2,"Русский, Английский",Атеизм,Рисование
20,Васильева Лариса Юрьевна,18,Ж,Аспирантура,Факультет социальных наук,2,"Русский, Английский",Православие,Футбол
21,Федотова Лидия Прохоровна,19,Ж,Аспирантура,Факультет мировой экономики и мировой политики,1,Русский,Атеизм,Баскетбол
22,Головин Семен Леонидович,30,М,Аспирантура,Факультет гуманитарных наук,3,"Русский, Английский",Ислам,Настольные игры
23,Борисов Александр Олегович,21,М,Магистратура,Факультет мировой экономики и мировой политики,2,Русский,Православие,"Музыка, Футбол"
24,Кондратьев Василий Викторович,28,М,Бакалавриат,Факультет социальных наук,2,Английский,Ислам,"Футбол, Настольные игры, Программирование"
25,Дмитриев Силантий Максимович,25,М,Бакалавриат,Факультет права,2,Русский,Атеизм,Баскетбол
26,Шаров Семен Глебович,23,М,Бакалавриат,Факультет права,4,"Русский, Английский",Православие,"Шахматы, Волейбол, Настольный теннис"
27,Игнатьев Анатолий Артёмович,20,М,Бакалавриат,Факультет урбанистики,4,Русский,Атеизм,"Программирование, Настольный теннис, Баскетбол"
28,Ковалева Анфиса Антоновна,22,Ж,Специалитет,Факультет математики,1,Русский,Ислам,"Программирование, Настольные игры"
29,Шестаков Федор Олегович,27,М,Специалитет,Факультет гуманитарных наук,4,Русский,Ислам,"Волейбол, Программирование, Настольные игры"
30,Котова Елизавета Георгиевна,29,Ж,Аспирантура,Факультет бизнеса и менеджмента,2,Русский,Православие,"Футбол, Волейбол"
31,Овчинникова Алиса Станиславовна,20,Ж,Бакалавриат,Факультет гуманитарных наук,3,Русский,Православие,Футбол
32,Титов Тарас Адамович,26,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",5,"Китайский, Английский",Православие,"Футбол, Программирование, Шахматы"
33,Николаев Прохор Платонович,25,М,Специалитет,Факультет компьютерных наук,5,Русский,Православие,"Рисование, Настольный теннис"
34,Федосеев Максим Викторович,19,М,Специалитет,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Ислам,Настольный теннис
35,Беликов Тарас Миронович,21,М,Специалитет,Факультет компьютерных наук,5,"Русский, Английский",Православие,Волейбол
36,Ларионов Глеб Евгеньевич,22,М,Специалитет,Факультет гуманитарных наук,4,"Русский, Английский",Православие,Футбол
37,Михайлов Глеб Леонтьевич,21,М,Специалитет,Факультет бизнеса и менеджмента,5,"Китайский, Английский",Православие,"Шахматы, Программирование, Волейбол"
38,Мартынова Лея Никитична,20,Ж,Аспирантура,Факультет мировой экономики и мировой политики,3,Русский,Буддизм,"Футбол, Программирование, Музыка"
39,Киселева Алина Денисовна,30,Ж,Специалитет,Факультет социальных наук,1,Русский,Атеизм,Музыка
40,Фёдорова Дарина Вениаминовна,24,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,"Русский, Английский",Буддизм,"Программирование, Шахматы"
41,Федотов Игнат Даниилович,30,М,Магистратура,Факультет компьютерных наук,2,"Русский, Английский",Буддизм,"Настольный теннис, Рисование, Волейбол"
42,Дьякова Ульяна Арсеньевна,29,Ж,Специалитет,Факультет компьютерных наук,4,Русский,Атеизм,"Программирование, Настольный теннис, Волейбол"
43,Гаврилов Глеб Глебович,25,М,Аспирантура,Факультет компьютерных наук,2,"Русский, Английский",Ислам,"Волейбол, Настольные игры"
44,Сафонова Ольга Александровна,26,Ж,Аспирантура,Факультет социальных наук,2,Русский,Православие,"Настольные игры, Волейбол"
45,Лазарев Тарас Сергеевич,21,М,Аспирантура,Факультет урбанистики,1,Русский,Православие,"Музыка, Настольные игры, Настольный теннис"
46,Петрова Дарина Дмитриевна,25,Ж,Бакалавриат,Факультет бизнеса и менеджмента,2,Английский,Православие,Шахматы
47,Игнатьев Петр Платонович,18,М,Аспирантура,Факультет гуманитарных наук,3,"Русский, Английский",Буддизм,Волейбол
48,Шубин Станислав Даниилович,28,М,Бакалавриат,Факультет математики,3,Русский,Православие,"Шахматы, Настольный теннис, Рисование"
49,Кожевникова Людмила Игнатьевна,22,Ж,Аспирантура,Факультет экономических наук,3,"Русский, Английский",Атеизм,Шахматы
50,Гордеев Леонид Викторович,27,М,Аспирантура,Факультет мировой экономики и мировой политики,3,"Русский, Английский",Православие,"Музыка, Программирование, Настольный теннис"
51,Мухин Филипп Виталиевич,27,М,Магистратура,Факультет права,2,"Русский, Английский",Буддизм,Настольный теннис
